t_s,x,y,yaw,goal_x,goal_y,wp_idx,wp_change,d_wp,abs_dtheta,omega,cum_Sw,cum_Zw
367.657620736,3.243225574493408,0.9556202292442322,-2.547124340149368,-61.0,-22.0,12,0,68.22134953461806,0.2512840910055125,0.0,134.1936340047374,16
367.764498432,3.371674060821533,0.9506198763847351,-2.5530154115399117,-61.0,-22.0,12,0,68.34064218386413,0.24609436018973385,0.0,134.1936340047374,16
367.899080192,3.4800610542297363,0.9469197392463684,-2.545016114363815,-61.0,-22.0,12,0,68.44150348346103,0.2546764106011139,0.0,134.1936340047374,16
368.012347648,3.5860581398010254,0.9453909993171692,-2.5221834345540164,-61.0,-22.0,12,0,68.54086280569645,0.27804860406748855,0.0,134.1936340047374,16
368.111187712,3.712728977203369,0.9416543841362,-2.5191160105968375,-61.0,-22.0,12,0,68.65898919703183,0.281784936068318,0.0,134.1936340047374,16
368.212413184,3.8188376426696777,0.9384711384773254,-2.5190408740064107,-61.0,-22.0,12,0,68.7579462427255,0.282419358459578,0.0,134.1936340047374,16
368.30777984,3.945700168609619,0.9338995814323425,-2.52288339685019,-61.0,-22.0,12,0,68.87603153784458,0.2792538855189015,0.0,134.1936340047374,16
368.463012864,4.073001384735107,0.9292585253715515,-2.52531922887039,-61.0,-22.0,12,0,68.99453895592796,0.2774958486829875,0.0,134.1936340047374,16
368.530985728,4.179255962371826,0.9262339472770691,-2.5295589982700455,-61.0,-22.0,12,0,69.09375956491051,0.27380844058475207,0.0,134.1936340047374,16
368.634484992,4.283273220062256,0.9248620867729187,-2.5066168803440383,-61.0,-22.0,12,0,69.19143779415813,0.2972680858014227,0.0,134.1936340047374,16
368.747212544,4.4004740715026855,0.9215068221092224,-2.5066132700055315,-61.0,-22.0,12,0,69.30091979024012,0.2978777102885837,0.0,134.1936340047374,16
368.866762752,4.482698917388916,0.9183184504508972,-2.543830397633546,-61.0,-22.0,12,0,69.37746880725533,0.26109595542148645,0.0,134.1936340047374,16
368.978274816,4.558162212371826,0.9158872961997986,-2.6104770335449796,-61.0,-22.0,12,0,69.44789790364996,0.19484131694114648,0.0,134.1936340047374,16
369.10989568,4.612838268280029,0.9134814143180847,-2.5829505680151224,-61.0,-22.0,12,0,69.49872067990728,0.22266005717145765,0.0,134.1936340047374,16
369.266984192,4.670215129852295,0.910737931728363,-2.5218665157648656,-61.0,-22.0,12,0,69.5519882374143,0.28405333184123016,0.0,134.1936340047374,16
369.379299072,4.719888210296631,0.9088827967643738,-2.4979341887277844,-61.0,-22.0,12,0,69.59828027595059,0.3082459258592376,0.0,134.1936340047374,16
369.458865664,4.7625813484191895,0.907852828502655,-2.5029304031891577,-61.0,-22.0,12,0,69.63825691974051,0.3034654748810439,0.0,134.1936340047374,16
369.563058944,4.811721324920654,0.9059335589408875,-2.498453488107464,-61.0,-22.0,12,0,69.68403300581583,0.30820037294925395,0.0,134.1936340047374,16
369.674175232,4.878754138946533,0.9035528302192688,-2.505392542003206,-61.0,-22.0,12,0,69.7465624898203,0.3016094778734928,0.0,134.1936340047374,16
369.79773696,4.9513773918151855,0.9007238745689392,-2.523918064866553,-61.0,-22.0,12,0,69.81423446444775,0.28346382430101524,0.0,134.1936340047374,16
369.894975232,5.038978099822998,0.8965720534324646,-2.5245358653533616,-61.0,-22.0,12,0,69.89563391419328,0.28331325197931,0.0,134.1936340047374,16
369.994053376,5.124514102935791,0.8941343426704407,-2.5266477227590367,-61.0,-22.0,12,0,69.97565828664705,0.2816347350537325,0.0,134.1936340047374,16
370.110299648,5.210554599761963,0.891556441783905,-2.5182740221847864,-61.0,-22.0,12,0,70.05612676087252,0.29044503040313785,0.0,134.1936340047374,16
370.211089664,5.283738613128662,0.8876408934593201,-2.538382549896593,-61.0,-22.0,12,0,70.12401949547326,0.2707302941410785,0.0,134.1936340047374,16
370.338185216,5.372653484344482,0.8824998736381531,-2.5621096372033234,-61.0,-22.0,12,0,70.2063952287818,0.24748578719762548,0.0,134.1936340047374,16
370.482165248,5.460412502288818,0.878818929195404,-2.575897863808698,-61.0,-22.0,12,0,70.2881695989396,0.23415401578183737,0.0,134.1936340047374,16
370.579075584,5.5334086418151855,0.8750202059745789,-2.581194597265303,-61.0,-22.0,12,0,70.35595934192435,0.22924604991483166,0.0,134.1936340047374,16
370.683654912,5.606853008270264,0.8711311221122742,-2.5918637649750926,-61.0,-22.0,12,0,70.42415428296015,0.2189681818519622,0.0,134.1936340047374,16
370.790155264,5.680164813995361,0.8676742911338806,-2.6049523841764928,-61.0,-22.0,12,0,70.49237481534418,0.2062636948131531,0.0,134.1936340047374,16
370.891386624,5.767503261566162,0.8639916777610779,-2.6298762722099713,-61.0,-22.0,12,0,70.57380255607583,0.18179062544510627,0.0,134.1936340047374,16
370.989850624,5.8552069664001465,0.8597010970115662,-2.6494247574319894,-61.0,-22.0,12,0,70.65539351503826,0.16270173414380595,0.0,134.1936340047374,16
371.090640384,5.926681041717529,0.8566171526908875,-2.6474742056846594,-61.0,-22.0,12,0,70.72203039311354,0.16502052547856483,0.0,134.1936340047374,16
371.192726784,5.998326778411865,0.8533031344413757,-2.6439276828257805,-61.0,-22.0,12,0,70.78876503557275,0.16893845358738435,0.0,134.1936340047374,16
371.311337216,6.069407939910889,0.8501108288764954,-2.6406578774256495,-61.0,-22.0,12,0,70.85501426365053,0.1725747689912196,0.0,134.1936340047374,16
371.410091264,6.155349254608154,0.8455355763435364,-2.6377396053635733,-61.0,-22.0,12,0,70.93489570922324,0.17594480907670018,0.0,134.1936340047374,16
371.510576896,6.2273783683776855,0.8411661982536316,-2.6273493166899846,-61.0,-22.0,12,0,71.00168501930965,0.18672008175677712,0.0,134.1936340047374,16
371.644800512,6.2997517585754395,0.8364173769950867,-2.615832727337471,-61.0,-22.0,12,0,71.06868892404165,0.19862754403653904,0.0,134.1936340047374,16
371.744374528,6.3721489906311035,0.8329079747200012,-2.6250996159272977,-61.0,-22.0,12,0,71.13612405942446,0.18973439815589632,0.0,134.1936340047374,16
371.84141056,6.4593634605407715,0.8293473124504089,-2.6557854259901714,-61.0,-22.0,12,0,71.21758783624892,0.15948901179100217,0.0,134.1936340047374,16
371.945492224,6.532105922698975,0.8261715769767761,-2.6770701378579207,-61.0,-22.0,12,0,71.28547845961488,0.13857360805444863,0.0,134.1936340047374,16
372.04631424,6.6042704582214355,0.8231406807899475,-2.691251957785038,-61.0,-22.0,12,0,71.35287755040774,0.1247558794628465,0.0,134.1936340047374,16
372.171013376,6.675422191619873,0.8208990693092346,-2.6910323534369005,-61.0,-22.0,12,0,71.41957857020437,0.12532388475253153,0.0,134.1936340047374,16
372.264562176,6.74553918838501,0.8187620043754578,-2.694544276445665,-61.0,-22.0,12,0,71.48534101014933,0.12215370609752485,0.0,134.1936340047374,16
372.352082944,6.830047130584717,0.8157331347465515,-2.710601525802133,-61.0,-22.0,12,0,71.56446724606643,0.10651350877084687,0.0,134.1936340047374,16
372.507015168,6.916958332061768,0.8118187785148621,-2.67514518544601,-61.0,-22.0,12,0,71.64560213343745,0.14240837678790053,0.0,134.1936340047374,16
372.607859968,7.008004665374756,0.8047683835029602,-2.605707597299821,-61.0,-22.0,12,0,71.72967419130559,0.21234328277934544,0.0,134.1936340047374,16
372.706770944,7.0824294090271,0.8002772927284241,-2.6115659315174717,-61.0,-22.0,12,0,71.79881502406892,0.20687380839600777,0.0,134.1936340047374,16
372.809915136,7.155410289764404,0.7959083914756775,-2.613670793397121,-61.0,-22.0,12,0,71.86663614751058,0.20514907303654661,0.0,134.1936340047374,16
372.910893824,7.242503643035889,0.7924584746360779,-2.6225489797953987,-61.0,-22.0,12,0,71.94814429009115,0.19670032850810948,0.0,134.1936340047374,16
373.038537216,7.328919887542725,0.7874998450279236,-2.6327778663993633,-61.0,-22.0,12,0,72.02854602298576,0.18691680767485463,0.0,134.1936340047374,16
373.13786112,7.400411128997803,0.7834042906761169,-2.634607172634839,-61.0,-22.0,12,0,72.09507440656625,0.18545510918407837,0.0,134.1936340047374,16
373.238034688,7.472243785858154,0.7803754210472107,-2.631187034480663,-61.0,-22.0,12,0,72.16227320001666,0.18922964477679427,0.0,134.1936340047374,16
373.337913344,7.544209957122803,0.7771705985069275,-2.627645260469231,-61.0,-22.0,12,0,72.22955225612036,0.19312805139379474,0.0,134.1936340047374,16
373.451355904,7.630401134490967,0.7730022072792053,-2.627181944108628,-61.0,-22.0,12,0,72.31003795749164,0.19402195248227816,0.0,134.1936340047374,16
373.56544512,7.701259136199951,0.768974244594574,-2.625764970847768,-61.0,-22.0,12,0,72.3760263833979,0.19580007705537605,0.0,134.1936340047374,16
373.661854976,7.771514415740967,0.7648293375968933,-2.624607559627885,-61.0,-22.0,12,0,72.44141529404557,0.19731689952666231,0.0,134.1936340047374,16
373.781353472,7.8418097496032715,0.7607588171958923,-2.625360336582468,-61.0,-22.0,12,0,72.50687492600362,0.19692208486484475,0.0,134.1936340047374,16
373.908169216,7.926280498504639,0.7563747763633728,-2.628412339556978,-61.0,-22.0,12,0,72.58570614329551,0.19429273806970082,0.0,134.1936340047374,16
374.0099776,8.011215209960938,0.7511917948722839,-2.6393189792126837,-61.0,-22.0,12,0,72.66474078150013,0.1838202786978762,0.0,134.1936340047374,16
374.110113024,8.08165168762207,0.7470158934593201,-2.6484389216328186,-61.0,-22.0,12,0,72.73033295638916,0.17505808890663044,0.0,134.1936340047374,16
374.219566848,8.166227340698242,0.7440099120140076,-2.6415461050491063,-61.0,-22.0,12,0,72.80973143353123,0.182353419247669,0.0,134.1936340047374,16
374.339692288,8.250585556030273,0.7398086190223694,-2.6283751560395,-61.0,-22.0,12,0,72.8885621746158,0.19594065488547185,0.0,134.1936340047374,16
374.469079296,8.320472717285156,0.7363998293876648,-2.623835647189934,-61.0,-22.0,12,0,72.95390198577219,0.20082342272187814,0.0,134.1936340047374,16
374.568883968,8.390230178833008,0.7331323027610779,-2.6200466698296156,-61.0,-22.0,12,0,73.01917110297998,0.2049526532603685,0.0,134.1936340047374,16
