t_ns,t_s,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,wx,wy,wz
1772565854347396525,251.297844224,-11.803519248962402,0.42032891511917114,-46.45847702026367,0.011763609945774078,-0.9097671508789062,0.0024205446243286133,0.414945125579834,-3.1120062890314646,0.0,0.0,0.0,0.0,0.0,0.0
1772565854429320960,251.379768576,-11.86198616027832,0.41927003860473633,-46.50696563720703,0.012319549918174744,-0.909972071647644,0.001925140619277954,0.4144820272922516,-3.1098629651364,0.0,0.0,0.0,0.0,0.0,0.0
1772565854528702268,251.479149824,-11.919716835021973,0.41768014430999756,-46.55717468261719,0.011584989726543427,-0.910187840461731,0.002350643277168274,0.41402703523635864,-3.112459897170109,0.0,0.0,0.0,0.0,0.0,0.0
1772565854631033089,251.581480704,-11.989693641662598,0.41483861207962036,-46.61848449707031,0.0107380086556077,-0.9103459715843201,0.002460152143612504,0.41370144486427307,-3.1149589175688854,0.0,0.0,0.0,0.0,0.0,0.0
1772565854749300376,251.699748096,-12.047953605651855,0.41305333375930786,-46.66891098022461,0.010783769190311432,-0.9104169607162476,0.00256405770778656,0.4135434031486511,-3.1149699004481186,0.0,0.0,0.0,0.0,0.0,0.0
1772565854850290200,251.800737792,-12.117387771606445,0.41229569911956787,-46.72975158691406,0.010385096073150635,-0.9104828238487244,0.002674788236618042,0.41340792179107666,-3.116218085609475,0.0,0.0,0.0,0.0,0.0,0.0
1772565854977942148,251.928389888,-12.17549991607666,0.4112468361854553,-46.78012466430664,0.01049698144197464,-0.9105101823806763,0.002486109733581543,0.4133460521697998,-3.11567420902247,0.0,0.0,0.0,0.0,0.0,0.0
1772565855079079004,252.029526528,-12.24511432647705,0.40979474782943726,-46.840660095214844,0.010515549220144749,-0.9105791449546814,0.0026923271361738443,0.4131923019886017,-3.1158881779546888,0.0,0.0,0.0,0.0,0.0,0.0
1772565855179090286,252.129537792,-12.302910804748535,0.40900808572769165,-46.89118957519531,0.010336585342884064,-0.9106267690658569,0.002733081579208374,0.41309162974357605,-3.116438373773863,0.0,0.0,0.0,0.0,0.0,0.0
1772565855316127591,252.266575104,-12.372486114501953,0.40742796659469604,-46.95147705078125,0.010534025728702545,-0.9106643199920654,0.0025170445442199707,0.4130050837993622,-3.115625221913121,0.0,0.0,0.0,0.0,0.0,0.0
1772565855431043861,252.381491456,-12.430169105529785,0.4063810706138611,-47.00189971923828,0.010477997362613678,-0.9107087850570679,0.0027192234992980957,0.41290727257728577,-3.116037589208221,0.0,0.0,0.0,0.0,0.0,0.0
1772565855539336713,252.48978432,-12.487863540649414,0.40567052364349365,-47.05226516723633,0.01035982370376587,-0.9107544422149658,0.0026168525218963623,0.41281014680862427,-3.1162400090965905,0.0,0.0,0.0,0.0,0.0,0.0
1772565855633147550,252.583595264,-12.557238578796387,0.4042128920555115,-47.11275863647461,0.010403393767774105,-0.9107814431190491,0.00244730687700212,0.4127506613731384,-3.115909834714301,0.0,0.0,0.0,0.0,0.0,0.0
1772565855733517057,252.683964672,-12.615044593811035,0.40297120809555054,-47.1630744934082,0.010514214634895325,-0.9108258485794067,0.002559363842010498,0.4126489460468292,-3.115748184714156,0.0,0.0,0.0,0.0,0.0,0.0
1772565855833758121,252.784205824,-12.68404769897461,0.4021832346916199,-47.22359848022461,0.010223858058452606,-0.9108890295028687,0.0025751590728759766,0.41251683235168457,-3.116575530219395,0.0,0.0,0.0,0.0,0.0,0.0
1772565855949474153,252.899921664,-12.741907119750977,0.40107566118240356,-47.274009704589844,0.010282471776008606,-0.9109301567077637,0.002522692084312439,0.41242480278015137,-3.1163518358936577,0.0,0.0,0.0,0.0,0.0,0.0
1772565856049321601,252.999769344,-12.811210632324219,0.3998177647590637,-47.3345832824707,0.0102982884272933,-0.9109779596328735,0.0026140210684388876,0.4123181104660034,-3.116426655911671,0.0,0.0,0.0,0.0,0.0,0.0
1772565856200474304,253.150921984,-12.868265151977539,0.4003090262413025,-47.38520050048828,0.00956697016954422,-0.9110614657402039,0.002695918083190918,0.4121508300304413,-3.1185541691736263,0.0,0.0,0.0,0.0,0.0,0.0
1772565856287248866,253.237696512,-12.936899185180664,0.4002578854560852,-47.44475555419922,0.009221658110618591,-0.9111812114715576,0.0018909424543380737,0.41189828515052795,-3.118512376035565,0.0,0.0,0.0,0.0,0.0,0.0
1772565856393017459,253.34346496,-12.993894577026367,0.4014607071876526,-47.494659423828125,0.008516453206539154,-0.9113568067550659,0.0017915070056915283,0.4115254282951355,-3.1203471512020386,0.0,0.0,0.0,0.0,0.0,0.0
1772565856513098412,253.463546112,-13.061376571655273,0.40201979875564575,-47.553871154785156,0.00780089944601059,-0.9115649461746216,0.0017229169607162476,0.41107845306396484,-3.122248632474662,0.0,0.0,0.0,0.0,0.0,0.0
1772565856605266780,253.555714304,-13.117298126220703,0.40175551176071167,-47.60331344604492,0.0070534348487854,-0.9117376804351807,0.0019863396883010864,0.41070762276649475,-3.1246440993779463,0.0,0.0,0.0,0.0,0.0,0.0
1772565856718663332,253.66911104,-13.184412002563477,0.4032447934150696,-47.661930084228516,0.0064244200475513935,-0.9119572043418884,0.001522332546301186,0.4102323353290558,-3.1258122722500095,0.0,0.0,0.0,0.0,0.0,0.0
1772565856808523125,253.758970624,-13.240062713623047,0.40396881103515625,-47.709075927734375,0.00665885116904974,-0.9121109843254089,-6.92307876306586e-05,0.40988919138908386,-3.1232122762056664,0.0,0.0,0.0,0.0,0.0,0.0
