t_s,x,y,yaw,goal_x,goal_y,d_wp,abs_dtheta,omega,cum_Sw,cum_Zw
26.527053312,12.065397262573242,0.34702593088150024,-3.1109350401822473,-4.0,-23.0,28.340441228420367,0.937435080329128,0.0,41.014110883062045,4
26.632431616,12.37224006652832,0.3590225577354431,-3.126439197464273,-4.0,-23.0,28.52532523300705,0.9443159723452297,0.0,41.014110883062045,4
26.736431872,12.740488052368164,0.36993855237960815,-3.125014174629168,-4.0,-23.0,28.747138434520398,0.9326188503896145,0.0,41.014110883062045,4
26.87861888,13.047159194946289,0.3789595365524292,-3.125620328742758,-4.0,-23.0,28.934086915428963,0.924790058903735,0.0,41.014110883062045,4
26.962847488,13.414434432983398,0.3904181718826294,-3.1238316403994584,-4.0,-23.0,29.161176054408624,0.9130561330378093,-0.041532837141121236,41.01586000959139,4
27.079947776,13.786188125610352,0.4016333222389221,-3.110763490548469,-4.0,-23.0,29.393620569574715,0.8900710690854376,-1.3803056933604587,41.09910886029701,4
27.1957184,14.103551864624023,0.41145914793014526,-3.1029088636733717,-4.0,-23.0,29.594509787295582,0.8738795816753466,-1.6355533980552548,41.273682804751644,4
27.299002112,14.43903923034668,0.42132681608200073,-3.104878535441827,-4.0,-23.0,29.808668496999086,0.8671483451647184,-0.11540368099430583,41.3641054780901,4
27.436484352,14.822957992553711,0.432400643825531,-3.11733182038913,-4.0,-23.0,30.056299631228672,0.8697931006188222,0.0,41.37203845637377,4
27.517708032,15.12789535522461,0.44110924005508423,-3.116840073231664,-4.0,-23.0,30.254949729335515,0.8616238393955795,0.0,41.37203845637377,4
27.643421184,15.431522369384766,0.45071715116500854,-3.112209276002179,-4.0,-23.0,30.455216244443992,0.8494680996586115,0.0,41.37203845637377,4
27.719174912,15.797548294067383,0.4625694155693054,-3.1177496159376314,-4.0,-23.0,30.699105557594645,0.8460738518580762,0.0,41.37203845637377,4
27.821426944,16.102455139160156,0.47142332792282104,-3.1178126093843326,-4.0,-23.0,30.90333987873327,0.8387808431918429,0.0,41.37203845637377,4
27.963403008,16.406654357910156,0.4801170229911804,-3.1185770861434983,-4.0,-23.0,31.10863927426871,0.8323000852991136,0.0,41.37203845637377,4
28.066420736,16.709217071533203,0.4887036681175232,-3.11889091080492,-4.0,-23.0,31.314387615352146,0.8255009848882287,0.0,41.37203845637377,4
28.167539968,17.012231826782227,0.4972767233848572,-3.118389391059778,-4.0,-23.0,31.52199073278469,0.8179687721010156,0.0,41.37203845637377,4
28.260729856,17.316190719604492,0.5059927105903625,-3.1178844446659886,-4.0,-23.0,31.731871676673595,0.8105064573126124,0.0,41.37203845637377,4
28.34584448,17.682580947875977,0.5165690779685974,-3.119554255440864,-4.0,-23.0,31.986924481107323,0.8039132410559606,0.0,41.37203845637377,4
28.469228288,17.98833656311035,0.5253083109855652,-3.1216960045309152,-4.0,-23.0,32.20135208247539,0.7992581582862828,0.0,41.37203845637377,4
28.552204288,18.29395294189453,0.5332862734794617,-3.120694362366208,-4.0,-23.0,32.41659915236243,0.7915368779806786,0.0,41.37203845637377,4
28.659845632,18.65964126586914,0.5442331433296204,-3.114836054707927,-4.0,-23.0,32.67706009734261,0.7777846305717278,0.0,41.37203845637377,4
28.762484736,18.9642333984375,0.5524489283561707,-3.1134997735618763,-4.0,-23.0,32.894891185421756,0.7699498691634594,0.0,41.37203845637377,4
28.878939136,19.268484115600586,0.5605847239494324,-3.112608747880591,-4.0,-23.0,33.113796302634285,0.7626517684346545,0.0,41.37203845637377,4
28.979399936,19.633947372436523,0.5702583193778992,-3.1119540187902035,-4.0,-23.0,33.378444326320874,0.7544103052928879,0.0,41.37203845637377,4
29.119449088,19.93886375427246,0.5782975554466248,-3.1107726049150672,-4.0,-23.0,33.60067430065653,0.7469901345340664,0.0,41.37203845637377,4
29.188016128,20.243589401245117,0.5860865712165833,-3.109481069117412,-28.0,-16.0,51.01511723071722,0.29902810539452673,0.0,41.37203845637377,4
29.329334272,20.547452926635742,0.5938686728477478,-3.1080624803952994,-28.0,-16.0,51.30508418466567,0.2958273707500787,0.0,41.37203845637377,4
29.427851264,20.972055435180664,0.6085132956504822,-3.1178580112707164,-28.0,-16.0,51.711748446926514,0.3032351652449017,-5.0,41.61833093637377,4
29.547033856,21.33619499206543,0.6225635409355164,-3.1058936489286624,-28.0,-16.0,52.0612116163996,0.2892799411366571,-5.0,42.21424389637376,4
29.660549632,21.71571159362793,0.6327120661735535,-3.1241217596010737,-28.0,-16.0,52.4242223589156,0.30538006274711194,-5.0,42.78182277637376,4
29.763490816,22.04537010192871,0.643727719783783,-3.1116775096455234,-28.0,-16.0,52.740427956637966,0.29115075380509836,-5.0,43.29652869637377,4
29.867570688,22.372831344604492,0.6571328043937683,-3.137121435663058,-28.0,-16.0,53.05546353520229,0.31488666375018104,-5.0,43.81692805637377,4
29.978731008,22.71095085144043,0.6676333546638489,-3.1305026172822217,-28.0,-16.0,53.37987015629309,0.3064659410945971,-5.0,44.372729656373764,4
30.08103168,23.059194564819336,0.6742185950279236,-3.127285687987889,-28.0,-16.0,53.71285614601826,0.3013410576556841,-5.0,44.884233016373756,4
30.187496448,23.305795669555664,0.6806613802909851,-3.132106870846977,-28.0,-16.0,53.94932004548461,0.30485678298147656,-5.0,45.41655685637377,4
30.29101056,23.513288497924805,0.6889707446098328,-3.1338302497721675,-28.0,-16.0,54.14924409800081,0.30554131477424296,-5.0,45.93412741637376,4
30.405558016,23.71979331970215,0.7030892968177795,-3.1305147071110544,-28.0,-16.0,54.35007095754499,0.3013018692367533,-5.0,46.50686469637377,4
30.515571456,23.897497177124023,0.6995899081230164,-3.1037409033696846,-28.0,-16.0,54.51813016189275,0.2734652496419967,-5.0,47.05693189637377,4
30.627526912,24.019453048706055,0.7113741040229797,-3.129846850466346,-28.0,-16.0,54.63783963455312,0.2990927942348063,-5.0,47.616709176373774,4
30.724011776,24.09711265563965,0.7228667140007019,-3.124797052698377,-28.0,-16.0,54.71529418899839,0.29380885915218924,-4.929435153840252,48.095729276581324,4
30.83638144,24.144704818725586,0.708342969417572,-3.1065064961049167,-28.0,-16.0,54.75617741785587,0.27500010414664366,-4.453798574287495,48.62292468721291,4
30.940607488,24.156274795532227,0.7295499444007874,-3.1334964679698545,-28.0,-16.0,54.77366923887125,0.30229432958342173,-0.7492534816265106,48.89407146387601,4
31.067931648,24.116621017456055,0.7106046080589294,-3.1138881802443126,-28.0,-16.0,54.730124178956714,0.28257771855803204,0.0,48.94177049896359,4
31.179209728,24.04036521911621,0.7105507254600525,-3.112045140192656,-28.0,-16.0,54.657498275050735,0.28115971942203055,0.0,48.94177049896359,4
31.288096256,23.90989112854004,0.7036194205284119,-3.1170626644617685,-28.0,-16.0,54.531162638648496,0.28678773315190487,0.00014567446355680925,48.94177842995687,4
31.3877248,23.765535354614258,0.7029454112052917,-3.1064022298389182,-28.0,-16.0,54.39355693425024,0.2769284317487468,3.0498465229398044,49.0937115708762,5
31.53555584,23.575162887573242,0.7006029486656189,-3.1244272167932396,-28.0,-16.0,54.21169214965247,0.2959906396469867,5.0,49.68872016253949,5
31.605206272,23.40546226501465,0.700247585773468,-3.121535017156681,-28.0,-16.0,54.05016022275954,0.29405940604644165,4.46347385738611,50.01828768373331,5
31.709311744,23.235525131225586,0.6901015639305115,-3.1282293787462625,-28.0,-16.0,53.885420344345135,0.3015491046659462,0.7980893974964652,50.292166446787014,5
31.81330688,23.06586265563965,0.685682475566864,-3.1166819319410495,-28.0,-16.0,53.72275428940787,0.2909016178281121,0.21201800609490107,50.34468957519256,5
31.924996352,22.863847732543945,0.6785865426063538,-3.1153711955279215,-28.0,-16.0,53.52855551216216,0.29063702530043534,0.07624005433171988,50.360787270476955,5
32.02926592,22.697263717651367,0.6740097403526306,-3.1135452336709464,-28.0,-16.0,53.368859358978845,0.2897021408524547,0.0264996246071666,50.366143581446664,5
